b,25.8092,-80.24
b,25.8587,-80.2094
b,25.4849,-80.461
b,25.8471,-80.2415
b,25.6849,-80.3125
b,25.7502,-80.2429
b,25.6003,-80.3537
b,25.8306,-80.2661
b,25.926,-80.1617
b,25.9466,-80.2056
b,25.7328,-80.3514
b,26.1368,-80.1615
b,25.8917,-80.2111
b,25.9864,-80.2065
b,25.8668,-80.3009
b,25.9377,-80.2449
b,25.9256,-80.2772
b,25.7331,-80.3086
b,25.8251,-80.208
b,25.7915,-80.1891
b,24.5603,-81.7811
b,30.4342,-87.2758
b,25.8099,-80.2083
b,26.0323,-80.1431
b,25.8134,-80.1344
b,26.1376,-80.1247
b,25.8675,-80.2662
b,25.795,-80.2175
b,26.1667,-80.1467
b,26.122,-80.1501
b,25.6474,-80.3322
b,29.187,-82.1061
b,26.6183,-80.0574
b,26.0114,-80.153
b,28.3573,-80.6927
b,26.6041,-81.872
b,25.7718,-80.2632
b,26.0187,-80.2078
b,26.7237,-80.0531
b,26.2322,-80.1026
b,29.6667,-82.3247
b,26.707,-80.1056
b,25.8887,-80.1638
b,25.8083,-80.2894
b,25.7781,-80.2888
b,24.7294,-81.0355
b,25.899,-80.2434
b,25.8985,-80.2923
b,26.0249,-80.2427
b,26.1656,-80.2564
b,25.7528,-80.2626
b,26.2361,-80.2047
b,26.0723,-80.2325
b,25.7491,-80.3355
b,25.9852,-80.1628
b,26.1888,-80.1317
b,25.571,-80.3725
b,25.5178,-80.4279
b,25.7629,-80.3061
b,26.2724,-80.266
b,26.6218,-80.0887
b,27.7915,-82.7311
b,27.9379,-82.2861
b,27.9256,-82.7874
b,27.8434,-82.6467
b,27.997,-82.5819
b,26.352,-80.0867
b,25.7323,-80.3816
b,25.6853,-80.4226
b,27.8937,-82.5186
b,28.0332,-82.4593
b,25.7009,-80.3665
b,27.8392,-82.7868
b,28.0545,-82.4509
b,26.6508,-80.1122
b,28.0325,-82.3933
b,28.0257,-82.5052
b,27.5435,-81.8107
b,39.798,-75.5479
b,41.5543,-87.6358
b,36.0693,-80.2583
b,41.7753,-88.3145
b,41.1404,-87.8768
b,40.0894,-75.3797
b,40.5135,-74.4033
b,44.8837,-93.3152
b,42.0661,-87.9186
b,42.0409,-87.7246
b,42.0407,-87.8049
b,32.7496,-96.8593
b,35.595,-82.5325
b,41.7346,-87.7424
b,29.9753,-90.166
b,42.0451,-88.079
b,42.2559,-71.0329
b,36.1018,-79.8227
b,44.9423,-93.2781
b,42.3532,-71.135
b,41.7945,-87.723
